round,best_so_far,avg_selected,gain_best_vs_prev,gain_avg_vs_prevbest,diversity_mean_hamming,Hit@24,Hit@96,"Spearman(μ,true)",n_measured_total
1,0.8878349034385771,0.27300792933010243,0.0,-0.6148269741084746,3.5,0.0,0.0,0.23478260869565212,120
2,0.8878349034385771,0.38758379971735896,0.0,-0.5002511037212181,2.1630434782608696,0.0,0.0,0.05391304347826086,144
3,0.8878349034385771,0.3354692140127688,0.0,-0.5523656894258082,3.9094202898550723,0.0,0.0,,168
4,0.8878349034385771,0.1638653298800002,0.0,-0.7239695735585769,3.8043478260869565,0.0,0.041666666666666664,,192
5,0.8878349034385771,0.32865420047454513,0.0,-0.5591807029640319,3.902173913043478,0.0,0.041666666666666664,,216
