round,best_so_far,avg_selected,gain_best_vs_prev,gain_avg_vs_prevbest,diversity_mean_hamming,Hit@24,Hit@96,"Spearman(μ,true)",n_measured_total
1,2.023419440451115,0.22102036777751702,0.3672448774543178,-1.4351541952192803,1.9963768115942029,0.041666666666666664,0.08333333333333333,0.38956521739130434,120
2,2.1845741091820363,0.5547417419153181,0.1611546687309211,-1.4686776985357972,1.9710144927536233,0.08333333333333333,0.08333333333333333,0.04434782608695652,144
3,2.1845741091820363,0.44646048096554464,0.0,-1.7381136282164917,1.934782608695652,0.0,0.125,0.4783648732349398,168
4,2.1845741091820363,0.752180381004322,0.0,-1.4323937281777144,1.963768115942029,0.08333333333333333,0.16666666666666666,0.32956521739130434,192
5,2.1845741091820363,0.44010130092244465,0.0,-1.7444728082595917,1.9166666666666667,0.08333333333333333,0.25,0.48227876765231664,216
