round,best_so_far,avg_selected,gain_best_vs_prev,gain_avg_vs_prevbest,diversity_mean_hamming,Hit@24,Hit@96,"Spearman(μ,true)",n_measured_total
1,1.9347665079951395,0.1386194431316524,0.0,-1.7961470648634872,2.0,0.0,0.041666666666666664,0.32,120
2,1.9347665079951395,0.7314809944151648,0.0,-1.2032855135799747,1.934782608695652,0.0,0.0,-0.020869565217391303,144
3,1.9347665079951395,0.3688558663930633,0.0,-1.5659106416020763,1.9963768115942029,0.0,0.0,-0.2982608695652174,168
4,1.9347665079951395,0.5128423897472113,0.0,-1.421924118247928,1.9855072463768115,0.0,0.0,0.44260869565217387,192
5,1.9347665079951395,0.5172921650442929,0.0,-1.4174743429508467,1.9963768115942029,0.0,0.0,0.1226086956521739,216
