round,best_so_far,avg_selected,gain_best_vs_prev,gain_avg_vs_prevbest,diversity_mean_hamming,Hit@24,Hit@96,"Spearman(μ,true)",n_measured_total
1,3.0050210670674486,0.07776638881831115,0.0,-2.9272546782491373,1.9963768115942029,0.0,0.0,0.3417391304347826,120
2,3.0050210670674486,0.2090454580391424,0.0,-2.7959756090283063,2.0,0.0,0.0,0.288695652173913,144
3,3.0050210670674486,0.817714927791723,0.0,-2.1873061392757256,1.9746376811594204,0.0,0.041666666666666664,0.23652173913043475,168
4,3.0050210670674486,0.9129838463587051,0.0,-2.0920372207087437,1.9927536231884058,0.0,0.0,0.2756521739130435,192
5,3.0050210670674486,0.28355463208532666,0.0,-2.721466434982122,2.0,0.0,0.0,0.29130434782608694,216
