round,best_so_far,avg_selected,gain_best_vs_prev,gain_avg_vs_prevbest,diversity_mean_hamming,Hit@24,Hit@96,"Spearman(μ,true)",n_measured_total
1,0.7463931758069204,0.10210665189141181,0.0,-0.6442865239155087,3.829710144927536,0.0,0.0,0.41826086956521735,120
2,0.7463931758069204,0.2637206209092793,0.0,-0.48267255489764116,3.9528985507246377,0.0,0.0,0.00608695652173913,144
3,0.7713279222750066,0.41252491037901323,0.024934746468086133,-0.3338682654279072,3.717391304347826,0.0,0.0,-0.14872798786031766,168
4,0.7713279222750066,-0.13389925941788003,0.0,-0.9052271816928866,3.9384057971014492,0.0,0.0,0.12869565217391304,192
5,0.7928080879428522,0.2021921515555022,0.021480165667845608,-0.5691357707195044,3.670289855072464,0.0,0.0,0.13478260869565215,216
